Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,PE Ratio,Ent. Value,MC Group,Sector,Forward PE,Country,State,Employees,Empl. Change,Empl. Growth,Revenue,Rev. Growth 3Y,Rev. Growth 5Y,Rev Growth (Yrs),Gross Profit,GP Growth,GP Growth (Q),GP Growth 5Y,GP Growth 3Y,Net Income,Op. Income,OpInc Growth,OpInc Growth (Q),OpInc Growth 3Y,OpInc Growth 5Y,NetInc Growth,NetInc Growth (Q),NetInc Growth 3Y,NetInc Growth 5Y,NetInc Growth (Yrs),NetInc Growth (Qtrs),Total Cash,Total Debt,Rev / Employee,Prof. / Employee,Working Capital,Equity,Net WC,Rev Gr. This Y,Rev Gr. Next 5Y,Rev Gr. Next Y,Rev. Growth,Rev. Growth (Q),Rev Growth (Qtrs),Volume,Debt Growth (YoY),Debt Growth (QoQ),Debt Growth (3Y),Debt Growth (5Y),Net Cash,Net Cash Growth,Cash / M.Cap,Assets,Liabilities,Gross Margin,Oper. Margin,Pretax Margin,Profit Margin,R&D / Rev,Avg. Volume,Rel. Volume,RSI,Tax / Revenue,Rev Gr. This Q,Rev Gr. Next Q
MITK,Mitek Systems,626760128,13.92,5.22%,Software - Application,81.88,633432128,Small-Cap,Technology,12.92,United States,California,573,,,172552000,19.42%,22.11%,11,149601000,19.88%,-8.79%,22.21%,19.30%,8027000,15564000,27.57%,,20.62%,,117.30%,,0.90%,,1,,133613000,140285000,301138,14009,138512000,205188000,6801000,7.60%,,11.13%,19.16%,-4.97%,,805564,4.55%,1.16%,169.76%,,-6672000,,-1.06%,405375000,200187000,86.70%,9.02%,5.99%,4.65%,16.80%,385136,209.16%,77.91,1.34%,-11.98%,0.54%
MUFG,Mitsubishi UFJ Financial Group,122935156736,10.30,-1.15%,Banks - Diversified,9.22,12507963096,Large-Cap,Financials,11.45,Japan,,149700,-8400,-5.31%,30790694864,7.49%,23.04%,1,26939149340,5.71%,,23.04%,7.49%,4531027190,4339761910,-24.59%,,-10.22%,19.78%,,,11.59%,25.73%,1,,753590694478,643163500838,205683,30267,,104165717854,,32.48%,,5.28%,32.04%,,,2649637,48.87%,,38.52%,43.87%,110427193640,,89.83%,2522546714289,2413736687163,87.49%,14.09%,13.44%,14.72%,,3205426,82.66%,51.90,0.57%,,
MFG,Mizuho Financial Group,50379546624,3.98,-1.49%,Banks - Regional,11.69,-93253100479,Large-Cap,Financials,10.26,Japan,,64402,-2037,-3.07%,15128980363,-0.72%,,1,13231464442,-3.88%,,,-0.72%,-105808157,456907246,-18.68%,,-51.63%,,,,,,1,,449127833624,305495186521,234915,-1643,,58891895891,,49.92%,,4.30%,31.33%,,,582124,48.26%,,3.67%,,143632647103,,285.10%,,1579098313334,87.46%,3.02%,0.92%,-0.70%,,1078773,53.96%,54.71,1.53%,,
MKSI,MKS Instruments,8483179008,131.92,4.28%,Scientific & Technical Instruments,,12602179008,Mid-Cap,Technology,29.81,United States,Massachusetts,10200,-700,-6.42%,3622000000,15.84%,11.78%,4,1642000000,6.14%,-15.26%,10.89%,16.11%,-1841000000,-1554000000,,-85.28%,,,,,,,,,875000000,4994000000,355098,-180490,1848000000,2472000000,1066000000,1.46%,,12.11%,2.11%,-17.86%,,644743,-2.88%,-1.73%,69.11%,70.38%,-4119000000,,-48.55%,9118000000,6646000000,45.33%,-42.90%,-53.23%,-50.83%,7.95%,646711,99.70%,63.68,-2.40%,9.06%,-12.86%
MTC,MMTec,376384032,1.86,-1.59%,Software - Application,,432630829,Small-Cap,Technology,,China,,57,,,3222182,,,1,371973,-56.38%,,,,-17135547,-6054797,,,,,,,,,1,,2947463,59194260,56530,-300624,1682325,41711791,-789207,,,,250.20%,,,42836,10904.51%,5518.42%,,,-56246797,,-14.94%,121316770,64389795,11.54%,-187.91%,-531.75%,-531.80%,,1639027,2.61%,49.71,0.05%,,
MTBL,Moatable,11198217,0.72,2.67%,Software - Application,,-38078783,Nano-Cap,Technology,,United States,Arizona,500,,,50812000,49.90%,-14.23%,3,39898000,27.43%,12.59%,18.23%,68.32%,-27728000,-11780000,,,,,,,,,,1,49852000,575000,101624,-55456,20693000,64906000,-28805000,,,,21.59%,10.78%,5,14622,33.41%,205.85%,-67.45%,-70.35%,49277000,-10.12%,440.04%,86452000,36397000,78.52%,-23.18%,-58.80%,-54.57%,36.02%,14091,103.77%,31.73,-4.23%,,
MGAM,Mobile Global Esports,3238076,0.16,0.63%,Electronic Gaming & Multimedia,,-1055874,Nano-Cap,Communication Services,,United States,Connecticut,28,,,,,,,,,,,,-4285107,-4318171,,,,,,,,,,,4514459,220509,,-153040,4111856,5670542,-247950,,,900.00%,,,,630764,57.67%,68.53%,,,4293950,-53.98%,132.61%,6285397,619421,,,,,,298806,211.09%,29.78,,,
BEEP,Mobile Infrastructure,57000000,3.67,0.55%,Infrastructure Operations,,233192000,Micro-Cap,Industrials,,United States,Ohio,18,,,30272000,,,2,21109000,9.55%,16.26%,,,-32475000,-30232000,,,,,,,,,,,16711000,192903000,1681778,-1804167,,109387000,,,,,4.02%,11.48%,1,15225,-12.19%,-0.31%,,,-176192000,,-309.11%,423237000,220282000,69.73%,-99.87%,-82.99%,-107.28%,,26227,58.05%,48.59,,,
MBLY,Mobileye Global,25384181760,32.70,4.31%,Auto Parts,,24172181760,Large-Cap,Consumer Discretionary,83.90,Israel,,3700,200,5.71%,2079000000,,,4,1047000000,13.56%,14.67%,,,-27000000,-33000000,,204.17%,,,,110.00%,,,1,2,1212000000,,561892,-7297,1663000000,14924000000,451000000,-6.59%,33.70%,39.34%,11.24%,12.74%,2,3160338,,,,,1212000000,18.36%,4.77%,15577000000,653000000,50.36%,-1.59%,0.77%,-1.30%,42.76%,5227360,60.46%,68.43,2.07%,-48.47%,-1.79%
MOB,Mobilicom,6373380,1.20,-2.44%,Communication Equipment,,-231267,Nano-Cap,Technology,,Australia,,,,,2246182,,,1,1269990,-16.73%,,,,-4674806,-4711721,,,,,,,,,,,8064390,1459743,,,7293573,7393900,470165,,,,-7.73%,,,32595,248.28%,536.04%,,,6604647,201.41%,103.63%,10407111,3013211,56.54%,-209.77%,-196.30%,-208.12%,76.78%,72490,44.96%,39.37,3.54%,,
MOBX,Mobix Labs,53400000,2.06,-0.48%,Semiconductors,,45077000,Micro-Cap,Technology,,Canada,,,,,,,,1,,,,,,,,,,,,,,,,,1,14796000,6473000,,,-5575000,4366000,-15094000,,,,,-58.03%,,11642,877.79%,-20.95%,,,8323000,,15.59%,41456000,37090000,,,,,,,,41.85,,,
MODN,Model N,1073388224,27.66,0.58%,Software - Application,,1060786224,Small-Cap,Technology,20.53,United States,California,1089,54,5.22%,253800000,15.34%,11.00%,4,143984000,14.24%,8.33%,10.97%,13.24%,-31670000,-3235000,,,,,,,,,,3,303375000,290773000,233058,-29082,301266000,124343000,2145000,7.18%,,8.97%,11.92%,7.33%,17,321296,58.00%,-0.26%,30.02%,40.26%,12602000,,1.17%,515174000,390831000,56.73%,-1.27%,-11.24%,-12.48%,19.06%,279211,115.07%,66.52,1.23%,4.50%,7.12%
MRNA,Moderna,41125142528,110.59,2.96%,Biotechnology,,33739142528,Large-Cap,Healthcare,32.47,United States,Massachusetts,5600,1700,43.59%,6848000000,104.31%,119.28%,,2155000000,-84.44%,-40.56%,74.01%,39.43%,-4714000000,-4239000000,,-99.62%,,,,-85.19%,,,,,8604000000,1218000000,1222857,-841786,7310000000,13854000000,-1294000000,-36.92%,19.87%,11.78%,-64.45%,-44.71%,,4569230,21.31%,-4.25%,80.53%,105.19%,7386000000,-16.99%,17.96%,18426000000,4572000000,31.47%,-61.90%,-57.56%,-68.84%,70.75%,4433722,103.06%,61.75,11.27%,-82.83%,-44.22%
MOD,Modine Manufacturing Company,5003595264,95.25,-0.62%,Auto Parts,22.41,5187095264,Mid-Cap,Consumer Discretionary,26.57,United States,Wisconsin,11300,200,1.80%,2422400000,11.10%,1.74%,2,502500000,34.94%,30.43%,6.29%,20.88%,225600000,242400000,97.88%,56.20%,54.92%,15.41%,215.08%,81.22%,,18.61%,2,4,149700000,333200000,214372,19965,442700000,727400000,312700000,6.88%,,7.37%,7.46%,0.25%,13,641599,-14.52%,-2.74%,-2.96%,-6.54%,-183500000,,-3.67%,1651400000,916200000,20.74%,10.01%,8.89%,9.31%,,1014701,63.23%,60.92,-0.43%,-1.30%,1.13%
MDV,Modiv,157771472,17.20,0.56%,REIT - Diversified,,434180814,Micro-Cap,Real Estate,53.22,United States,Nevada,12,,,46936599,6.70%,21.15%,2,41775582,12.08%,-5.78%,26.12%,9.94%,-10301342,2313787,-53.04%,-86.58%,,-8.11%,,,,,,,3129414,279538756,3911383,-858445,,144443338,,10.18%,,4.96%,7.11%,-10.98%,,20238,43.02%,-1.05%,13.43%,16.24%,-276409342,,-175.20%,530895830,305773922,89.00%,4.93%,-14.09%,-21.95%,,27379,73.92%,69.52,,20.96%,4.46%
MODV,ModivCare,340186464,24.91,3.96%,Medical Care Facilities,,1477472464,Small-Cap,Healthcare,5.68,United States,Colorado,21200,,,2756207000,26.28%,14.76%,3,451989000,-5.77%,-4.06%,28.04%,15.96%,-204460000,-139946000,,136.90%,,,,,,,,2,2782000,1140068000,130010,-9644,-115479000,156195000,4266000,3.44%,,7.51%,9.73%,7.09%,13,224633,11.65%,2.90%,30.10%,303.11%,-1137286000,,-334.31%,1767275000,1611080000,16.40%,-5.08%,-7.57%,-7.42%,,205342,109.39%,32.76,-0.16%,2.02%,0.91%
MODD,Modular Medical,60120600,1.95,0.52%,Medical Devices,,59350600,Micro-Cap,Healthcare,,United States,California,37,,,,,,,,,,,,-16760254,-16782213,,,,,,,,,1,,2047000,1277000,,-452980,903000,3845000,-782000,,,,,,,105717,1544.09%,-6.03%,21.79%,,770000,-89.89%,1.28%,6199000,2354000,,,,,,213067,49.62%,54.66,,,
MC,Moelis & Company,3678597632,57.49,4.21%,Capital Markets,,3707066632,Mid-Cap,Financials,43.62,United States,New York,1161,54,4.88%,854748000,-3.23%,-0.71%,,854748000,-13.25%,3.71%,-0.71%,-3.23%,-24700000,-40352000,,,,,,,,,,,187215000,215684000,736217,-21275,,352141000,,32.79%,,21.06%,-13.25%,3.71%,2,720985,11.89%,-0.54%,3.13%,,-28469000,,-0.77%,1179759000,817297000,100.00%,-4.72%,-3.08%,-2.89%,,642114,112.28%,62.16,-0.19%,15.65%,39.01%
MOGO,Mogo Inc.,46909840,1.89,-1.56%,Software - Infrastructure,,99189662,Nano-Cap,Technology,,Canada,,255,,,49038346,13.81%,2.89%,,34343619,0.91%,-2.40%,3.33%,9.54%,-13448872,-2852952,,,,,,,,,1,4,13153314,65433136,192307,-52741,,68986076,,9.08%,,,-5.41%,0.06%,1,71317,1.33%,2.89%,-0.92%,-7.39%,-52279822,,-111.45%,152925122,83939046,70.03%,-5.82%,-27.45%,-27.43%,15.90%,74645,95.54%,47.67,-0.60%,10.95%,12.85%
MOGU,MOGU Inc.,15610096,1.87,-1.58%,Specialty Retail,,-49716236,Nano-Cap,Consumer Discretionary,,China,,407,,,27583494,-42.07%,-28.98%,,13378025,-58.49%,,-33.30%,-49.11%,-21451582,-27773442,,,,,,,,,1,,65531803,205471,67773,-52707,39315512,84361933,-26010820,,,,-50.72%,,,3596,,-56.41%,,,65326332,-32.44%,418.49%,128436207,40353382,48.50%,-100.69%,-79.51%,-77.77%,15.06%,2960,121.49%,43.68,-1.28%,,
MHK,Mohawk Industries,7968419328,128.92,3.05%,"Furnishings, Fixtures & Appliances",,10475735328,Mid-Cap,Consumer Discretionary,13.30,United States,Georgia,43300,2400,5.87%,11135115000,5.24%,2.21%,,2709652000,-7.94%,15.85%,-0.92%,3.69%,-439516000,-287808000,,173.58%,,,,316.93%,,,,1,642550000,3149866000,257162,-10150,2458303000,7623071000,2926328000,-0.84%,2.65%,2.89%,-5.13%,-1.45%,,406264,-2.19%,4.31%,0.89%,-0.67%,-2507316000,,-31.47%,13559869000,5930733000,24.33%,-2.58%,-3.19%,-3.95%,,735719,55.22%,70.72,0.76%,-4.43%,-3.34%
MOLN,Molecular Partners AG,139302224,4.20,8.25%,Biotechnology,,-63018920,Micro-Cap,Healthcare,1.78,Switzerland,,167,,,8378571,-9.01%,,,7771008,-96.29%,-61.72%,,-9.01%,-73790476,-67472402,,,,,,,,,,,206353500,4032356,50171,-441859,196586189,194804091,-8433498,262.32%,78.66%,-60.00%,-96.29%,-61.72%,,2230,-24.70%,-7.59%,-20.32%,,202321144,-24.99%,145.24%,219010372,24206282,92.75%,-805.30%,-816.84%,-880.70%,642.89%,13924,16.02%,51.07,,,
MTEM,Molecular Templates,12307078,2.36,0.85%,Biotechnology,,6892078,Nano-Cap,Healthcare,,United States,Texas,111,,,52901000,34.91%,41.21%,,52901000,50.69%,60.28%,41.21%,34.91%,-26225000,-26629000,,,,,,,,,,3,15811000,10396000,476586,-236261,1188000,6801000,-14623000,199.82%,9.29%,-60.86%,50.69%,60.28%,3,8435,-78.50%,-5.74%,-27.82%,26.93%,5415000,-82.58%,44.00%,44061000,37260000,100.00%,-50.34%,-49.52%,-49.57%,109.01%,15842,53.24%,38.80,0.05%,203.75%,
MBRX,Moleculin Biotech,12295855,5.54,18.38%,Biotechnology,,-10780145,Nano-Cap,Healthcare,,United States,Texas,15,,,,,,,,,,,,-29769000,-29631000,,,,,,,,,,,23550000,474000,,-1984600,19458000,26073000,-4092000,,,,,,,88464,41.49%,-4.44%,43.92%,,23076000,-46.10%,187.67%,38217000,12144000,,,,,,29471,300.17%,35.11,,,
MOH,Molina Healthcare,24513806336,418.60,0.04%,Healthcare Plans,22.30,17791806336,Large-Cap,Healthcare,17.50,United States,California,18000,3000,20.00%,34072000000,20.60%,12.52%,4,4334000000,10.39%,3.78%,10.56%,17.42%,1091000000,1573000000,34.10%,200.95%,13.42%,6.82%,37.75%,285.71%,17.47%,9.06%,2,4,9107000000,2385000000,1892889,60611,4374000000,4215000000,-4733000000,16.58%,,8.25%,6.56%,10.03%,16,129789,-0.25%,0.29%,0.47%,10.34%,6722000000,31.44%,27.42%,14892000000,10677000000,12.72%,4.62%,4.30%,3.20%,,387840,33.46%,66.83,1.09%,17.01%,17.58%
TAP,Molson Coors Beverage Company,14225482752,67.34,0.66%,Beverages - Alcoholic,15.41,19580482752,Large-Cap,Consumer Staples,11.78,United States,Colorado,16500,-100,-0.60%,11702100000,6.62%,1.67%,3,4368800000,19.52%,11.83%,0.86%,5.05%,948900000,1426200000,833.38%,,,-2.66%,,,,-3.20%,1,3,868900000,6223900000,709218,57509,-1244100000,13196000000,-1201200000,2.33%,1.41%,1.14%,9.36%,6.13%,6,1135572,-5.16%,0.71%,-8.89%,-9.91%,-5355000000,,-37.64%,26375100000,12940000000,37.33%,12.19%,10.64%,8.11%,,1653981,68.66%,64.19,2.53%,6.64%,0.69%
TAP.A,Molson Coors Beverage Company,13315254272,67.70,-0.44%,Beverages - Alcoholic,15.49,18670254272,Large-Cap,Consumer Staples,11.84,United States,Colorado,16500,-100,-0.60%,11702100000,6.62%,1.67%,3,4368800000,19.52%,11.83%,0.86%,5.05%,948900000,1426200000,833.38%,,,-2.66%,,,,-3.20%,1,3,868900000,6223900000,709218,57509,-1244100000,13196000000,-1201200000,2.33%,1.41%,1.14%,9.36%,6.13%,6,917,-5.16%,0.71%,-8.89%,-9.91%,-5355000000,,-40.22%,26375100000,12940000000,37.33%,12.19%,10.64%,8.11%,,55,1667.27%,81.73,2.53%,6.64%,0.69%
MNTS,Momentus,5746477,0.45,3.63%,Aerospace & Defense,,7768477,Nano-Cap,Industrials,,United States,California,123,,,2186000,,,,1679000,997.39%,91.30%,,,-79259000,-75419000,,,,,,,,,,3,10144000,12166000,17772,-644382,-1945000,4292000,-5110000,945.82%,,63.10%,1121.23%,162.79%,2,250798,-49.29%,-21.09%,,,-2022000,,-35.19%,33489000,29197000,76.81%,-3450.09%,-3625.75%,-3625.75%,1674.20%,2081642,12.05%,36.43,,750.00%,4304.55%
MCRI,Monarch Casino & Resort,1404039040,74.17,0.23%,Resorts & Casinos,17.66,1381096040,Small-Cap,Consumer Discretionary,16.19,United States,Nevada,2900,200,7.41%,501478000,39.58%,15.85%,3,280644000,4.39%,7.23%,16.74%,39.15%,82448000,110152000,-1.16%,-9.59%,93.22%,20.80%,-5.75%,-18.86%,51.57%,19.31%,,,43361000,20418000,172923,28430,-48401000,513140000,-90865000,4.30%,,2.26%,4.94%,6.35%,1,60504,-0.69%,-11.74%,-52.82%,-26.39%,22943000,25.93%,1.63%,680873000,167733000,55.96%,21.97%,21.64%,16.44%,,121832,49.66%,68.16,5.20%,6.97%,4.29%
MNDY,monday.com,11098387456,226.85,-0.95%,Software - Application,,10043406456,Large-Cap,Technology,112.47,Israel,,1854,305,19.69%,729695000,65.45%,,4,649050000,43.44%,35.91%,,67.29%,-1877000,-38585000,,,,,,,,,1,6,1116128000,61147000,393579,-1012,757129000,813508000,-340798000,30.70%,31.74%,26.66%,40.59%,35.12%,12,503893,-21.32%,-4.32%,42.76%,,1054981000,30.54%,9.51%,1275656000,462148000,88.95%,-5.29%,0.46%,-0.26%,21.45%,826875,60.94%,53.71,0.71%,32.38%,30.84%
MOND,Mondee Holdings,188915552,2.26,2.26%,Travel Services,,298616552,Micro-Cap,Consumer Discretionary,909.09,United States,Texas,932,,,200947000,,,2,159500000,94.82%,,,,-69693000,-23799000,,,,,,,,,,1,47919000,157620000,215608,-74778,15672000,-54773000,-21862000,38.36%,19.94%,16.28%,26.77%,34.60%,7,97842,15.24%,1.40%,,,-109701000,,-58.07%,365569000,327858000,79.37%,-11.84%,-30.63%,-34.68%,,172339,56.77%,47.25,1.30%,41.25%,13.93%
MDLZ,Mondelez International,94307459072,70.10,0.70%,Confectioners,19.36,112442459072,Large-Cap,Consumer Staples,19.51,United States,Illinois,91000,,,36016000000,10.66%,6.79%,4,13764000000,21.68%,12.85%,5.86%,9.63%,4959000000,5502000000,55.69%,43.05%,12.61%,10.68%,82.52%,62.95%,11.73%,8.38%,1,4,1810000000,19945000000,395780,54495,-7310000000,28332000000,-6599000000,5.19%,4.71%,4.39%,14.35%,7.12%,14,7115765,-14.94%,-2.48%,-0.94%,1.66%,-18135000000,,-19.23%,71391000000,43025000000,38.22%,15.28%,18.04%,13.77%,,7138390,99.68%,38.09,4.27%,2.25%,3.90%
MNY,MoneyHero,70134616,2.05,12.64%,Internet Content & Information,,70467616,Micro-Cap,Communication Services,,Singapore,,359,,,123274238,,,1,62195964,8.85%,8.15%,,,-150701991,-47931365,,,,,,,,,,1,14506000,14839000,343382,-419783,-57688000,-58260000,-71536000,,,,9.31%,16.84%,2,1168659,569.01%,13.16%,271.64%,,-333000,,-0.47%,59539000,117799000,50.45%,-38.88%,-122.41%,-122.25%,9.43%,1246022,93.79%,56.20,-0.16%,,
ML,MoneyLion,797272000,72.26,-4.67%,Software - Application,,892546000,Small-Cap,Technology,169.05,United States,New York,600,,,423431000,74.70%,,4,297070000,26.78%,19.86%,,76.77%,-44555000,-25453000,,,,,,,,,1,3,94479000,189753000,705718,-74258,,257223000,,26.12%,,20.23%,24.27%,18.98%,12,144117,-18.21%,-2.40%,59.68%,,-95274000,,-11.95%,515259000,258036000,70.16%,-6.01%,-10.94%,-10.52%,,172862,83.37%,61.68,-0.25%,27.93%,22.83%
MDB,MongoDB,25790949376,358.80,1.32%,Software - Infrastructure,,24959530376,Large-Cap,Technology,164.75,United States,New York,5037,418,9.05%,1683011000,41.79%,44.51%,8,1258526000,34.64%,26.17%,45.43%,44.94%,-176600000,-233732000,,,,,,,,,1,5,2015407000,1183988000,334130,-35061,1919416000,1068989000,-86194000,21.81%,24.29%,25.41%,31.07%,26.76%,26,727377,-0.07%,-0.10%,6.54%,40.42%,831419000,27.56%,3.22%,2869642000,1800653000,74.78%,-13.89%,-9.72%,-10.49%,30.66%,1422083,51.15%,34.64,0.78%,18.83%,4.75%
MGRM,Monogram Orthopaedics,72125520,2.31,1.32%,Medical Devices,,59028482,Micro-Cap,Healthcare,,United States,New York,28,,,364999,,,,364999,,,,,-13745217,-17268029,,,,,,,,,,,13589028,491990,13036,-490901,11800071,13397066,-1660691,,,,,,,51637,-19.37%,-5.77%,-38.59%,,13097038,32.85%,18.16%,16579008,3181942,100.00%,-4730.98%,-3765.82%,-3765.82%,2900.25%,43006,120.07%,45.57,,,
MPWR,Monolithic Power Systems,32432068608,673.14,1.19%,Semiconductors,76.84,31323592608,Large-Cap,Technology,51.31,United States,Washington,3564,317,9.76%,1821072000,29.20%,25.61%,12,1021119000,-2.62%,-6.23%,25.91%,29.89%,427374000,481736000,-8.55%,-19.96%,44.74%,33.53%,-2.35%,-18.63%,37.51%,32.34%,,,1108476000,,510963,119914,1584464000,2049939000,475988000,14.11%,15.04%,20.21%,1.50%,-1.30%,,402853,,,,,1108476000,50.23%,3.42%,2434353000,384414000,56.07%,26.45%,27.78%,23.47%,14.48%,542442,74.27%,45.29,4.31%,1.17%,9.66%
MNPR,Monopar Therapeutics,11115607,0.74,0.10%,Biotechnology,,2620756,Nano-Cap,Healthcare,,United States,Illinois,11,,,,,,,,,,,,-9484619,-9828245,,,,,,,,,,3,8494851,,,-862238,6586242,6611330,-1908609,,,,,,,141964,,,,,8494851,-40.58%,76.42%,8593132,1981802,,,,,,5557268,2.55%,49.76,,,
MNRO,Monro,941318080,31.46,2.31%,Auto Parts,28.89,1533854080,Small-Cap,Consumer Discretionary,19.22,United States,New York,8600,,,1277548000,4.91%,1.28%,,445846000,-2.44%,-0.68%,-0.75%,4.54%,34280000,67264000,-20.90%,-10.33%,9.02%,-12.17%,-27.46%,-6.63%,22.30%,-15.68%,,,23846000,616382000,148552,3986,-214938000,659718000,-160973000,-0.86%,,2.44%,-4.84%,-5.23%,,227553,-12.68%,5.03%,-8.79%,10.74%,-592536000,,-62.95%,1733097000,1073379000,34.90%,5.27%,3.66%,2.68%,,416506,54.63%,53.66,0.98%,6.35%,4.07%
MRCC,Monroe Capital,152747424,7.31,3.69%,Asset Management,365.50,448654424,Micro-Cap,Financials,6.87,United States,Illinois,,,,64297000,1.45%,1.95%,2,49882000,13.46%,4.51%,0.88%,-1.51%,371000,46902000,15.30%,4.68%,-1.28%,1.20%,,-64.64%,-39.14%,-42.39%,1,,4958000,300865000,,,,203724000,,4.15%,,,13.67%,2.24%,1,145063,-8.86%,-8.14%,-4.32%,-0.84%,-295907000,,-193.72%,513186000,309462000,77.58%,72.95%,1.83%,0.58%,,70416,206.01%,55.33,1.25%,-7.24%,-5.29%
MNST,Monster Beverage,62125834240,59.20,-0.20%,Beverages - Non-Alcoholic,38.44,58964392240,Large-Cap,Consumer Staples,31.97,United States,California,6003,707,13.35%,7140027000,15.80%,13.40%,23,3794206000,19.52%,19.64%,10.57%,11.68%,1630988000,1953355000,23.26%,10.04%,6.15%,8.76%,36.87%,21.65%,4.98%,10.43%,1,4,3253280000,91838000,1189410,271695,4427307000,8228744000,1174027000,14.03%,9.59%,10.11%,13.14%,14.35%,14,3494317,117.18%,72.46%,49.60%,103.66%,3161442000,20.34%,5.09%,9686522000,1457778000,53.14%,27.36%,28.97%,22.84%,,5246103,66.61%,53.92,6.13%,15.01%,14.18%
AIRJ,Montana Technologies,345236576,10.62,0.66%,Shell Companies,,343962066,Small-Cap,Industrials,,United States,Montana,4,,,,,,,,,,,,-6587830,-10515763,,,,,,,,,,,1329444,54934,,-1646957,-3069114,-2943270,-4376581,,,,,,,15007,,,,,1274510,0.74%,0.37%,1677920,4621190,,,,,,98532,15.23%,61.87,,,
MNTK,Montauk Renewables,550363328,4.07,6.27%,Utilities - Diversified,36.95,544633328,Small-Cap,Utilities,13.59,United States,Pennsylvania,151,,,174904000,20.33%,,,80281000,-22.90%,-14.12%,,27.61%,14948000,23640000,-46.96%,-13.34%,87.59%,,-57.53%,-19.61%,48.09%,,,,73819000,68089000,1158305,98993,60825000,250239000,-4662000,38.60%,,11.01%,-14.91%,-5.71%,,290848,-10.67%,-2.95%,0.86%,,5730000,-80.23%,1.04%,350238000,99999000,45.90%,13.52%,10.50%,8.55%,,361600,80.43%,34.91,1.95%,182.45%,10.36%
GLUE,Monte Rosa Therapeutics,386688128,7.04,6.83%,Biotechnology,,200314128,Small-Cap,Healthcare,,United States,Massachusetts,133,,,,,,,,,,,,-135352000,-143311000,,,,,,,,,,,232413000,46039000,,-1017684,189620000,179250000,-39631000,,,31.17%,,,,146513,-2.05%,-0.77%,,,186374000,-14.03%,48.20%,303755000,124505000,,,,,,154975,94.54%,54.25,,,
MCAC,Monterey Capital Acquisition,107308176,11.07,,Shell Companies,,107701324,Micro-Cap,Financials,,United States,California,3,,,,,,,,,,,,-4322154,-2881307,,,,,,,,,,,6852,400000,,-1440718,-2870164,-9371285,-2477016,,,,,,,6524,23.46%,154.78%,,,-393148,,-0.37%,95016710,9888170,,,,,,12859,50.73%,71.82,,,
MEG,Montrose Environmental Group,1165707392,38.37,3.31%,Waste Management,,1352803392,Small-Cap,Industrials,,United States,Virginia,3100,,,624208000,23.89%,27.02%,1,240305000,24.81%,31.10%,34.76%,28.69%,-47259000,-28336000,,,,,,,,,1,1,23240000,210336000,201357,-15245,74637000,321252000,79512000,11.53%,,9.30%,14.66%,18.80%,3,201044,4.07%,-5.19%,6.14%,23.49%,-187096000,,-16.05%,816786000,342606000,38.50%,-4.54%,-5.10%,-7.57%,,200829,100.11%,55.25,-0.16%,16.41%,10.11%
MCO,Moody's,71509540864,390.24,-0.17%,Financial Data & Stock Exchanges,44.70,76731540864,Large-Cap,Financials,36.50,United States,New York,15151,725,5.03%,5916000000,3.27%,5.89%,1,4229000000,9.70%,20.34%,5.75%,2.77%,1607000000,2137000000,13.49%,62.75%,-3.63%,2.73%,16.96%,38.21%,-3.31%,4.17%,1,4,2193000000,7415000000,390469,106066,1841000000,3318000000,-244000000,11.24%,7.92%,9.62%,8.19%,14.73%,3,467543,-5.70%,1.97%,2.22%,5.49%,-5222000000,,-7.30%,14622000000,11146000000,71.48%,36.12%,32.69%,27.16%,,719024,65.02%,53.99,5.53%,12.72%,11.04%
MOG.A,Moog Inc.,5035312128,158.51,1.18%,Aerospace & Defense,29.52,5828587128,Mid-Cap,Industrials,28.39,United States,New York,13500,-500,-3.57%,3415869000,6.68%,4.34%,2,921045000,10.75%,14.49%,3.14%,8.45%,172794000,296930000,11.64%,9.22%,91.36%,4.27%,11.53%,3.90%,,4.80%,1,2,126828000,920103000,253027,12800,1106784000,1707217000,979956000,8.94%,,4.78%,11.20%,12.73%,11,50362,0.35%,6.61%,-1.65%,2.39%,-793275000,,-15.75%,3987955000,2280738000,26.96%,8.69%,6.39%,5.06%,3.32%,106544,47.27%,64.75,1.33%,7.53%,7.61%
MOG.B,Moog Inc.,4991345664,152.00,,Aerospace & Defense,28.31,5784620664,Mid-Cap,Industrials,27.23,United States,New York,13500,-500,-3.57%,3415869000,6.68%,4.34%,2,921045000,10.75%,14.49%,3.14%,8.45%,172794000,296930000,11.64%,9.22%,91.36%,4.27%,11.53%,3.90%,,4.80%,1,2,126828000,920103000,253027,12800,1106784000,1707217000,979956000,8.94%,,4.78%,11.20%,12.73%,11,53,0.35%,6.61%,-1.65%,2.39%,-793275000,,-15.89%,3987955000,2280738000,26.96%,8.69%,6.39%,5.06%,3.32%,91,58.24%,90.93,1.33%,7.53%,7.61%
MLEC,Moolec Science,59072968,1.38,2.99%,Biotechnology,,60984368,Micro-Cap,Healthcare,,Luxembourg,,45,,,,,,,,,,,,,,,,,,,,,,,,853857,2765257,,,-9316242,8891610,-7648745,200.87%,64.76%,44.03%,,,,10585,,4.54%,,,-1911400,,-3.24%,22491999,13600389,,,,,,338509,3.13%,34.04,,,
